auction_date,category,cattle_type,grade,head_count,weight_min,weight_max,avg_weight,price_min,price_max,avg_price,dressing,age,stage,total_receipts,feeder_cattle_total,slaughter_cattle_total,replacement_cattle_total
2019-05-07,FEEDER,BULL,M&L 3,2,305.0,315.0,310.0,141.0,147.0,144.05,,,,84,60.0,15.0,9
2019-05-07,FEEDER,BULL,M&L 3,3,455.0,470.0,465.0,131.0,139.0,136.39,,,,84,60.0,15.0,9
2019-05-07,FEEDER,BULL,M&L 3,3,505.0,545.0,518.0,122.0,129.0,126.55,,,,84,60.0,15.0,9
2019-05-07,FEEDER,BULL,M&L 3,4,705.0,720.0,711.0,113.0,119.0,115.76,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,3,370.0,385.0,380.0,125.0,130.0,126.62,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,3,415.0,445.0,425.0,123.0,125.0,124.3,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,2,455.0,475.0,465.0,118.0,123.0,120.45,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,3,505.0,540.0,525.0,113.0,118.0,114.95,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,3,555.0,595.0,582.0,110.0,113.0,112.05,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,2,605.0,605.0,605.0,108.0,108.0,108.0,,,,84,60.0,15.0,9
2019-05-07,FEEDER,HEIFER,M&L 3,1,760.0,760.0,760.0,106.0,106.0,106.0,,,,84,60.0,15.0,9
2019-05-07,REPLACEMENT,BRED COW,M&L 1-2,2,,,,465.0,550.0,507.5,,2-8,T1,84,60.0,15.0,9
2019-05-07,REPLACEMENT,BRED COW,M&L 1-2,2,,,,780.0,800.0,790.0,,2-8,T2,84,60.0,15.0,9
2019-05-07,REPLACEMENT,BRED COW,M&L 1-2,2,,,,510.0,550.0,530.0,,5-8,T1,84,60.0,15.0,9
2019-05-07,REPLACEMENT,BRED COW,M&L 1-2,1,,,,1050.0,1050.0,1050.0,,2-8,O,84,60.0,15.0,9
2019-05-07,SLAUGHTER,BULL,1-2,1,1215.0,1215.0,1215.0,64.0,64.0,64.0,Low,,,84,60.0,15.0,9
2019-05-07,SLAUGHTER,BULL,1-2,1,1465.0,1465.0,1465.0,80.0,80.0,80.0,High,,,84,60.0,15.0,9
2019-05-07,SLAUGHTER,BULL,M&L 3,1,1300.0,1300.0,1300.0,46.0,46.0,46.0,Low,,,84,60.0,15.0,9
2019-05-07,SLAUGHTER,COW,Boner 80-85%,2,1195.0,1210.0,1203.0,51.0,52.0,51.5,Average,,,84,60.0,15.0,9
2019-05-07,SLAUGHTER,COW,Lean 85-90%,6,830.0,985.0,933.0,40.0,45.0,41.48,Low,,,84,60.0,15.0,9
2019-05-07,SLAUGHTER,COW,Lean 85-90%,4,980.0,1115.0,1051.0,49.0,52.0,51.04,Average,,,84,60.0,15.0,9
2019-05-14,FEEDER,BULL,M&L 1,1,280.0,280.0,280.0,163.0,163.0,163.0,,,,477,46.0,14.0,417
2019-05-14,FEEDER,BULL,M&L 1,1,305.0,305.0,305.0,158.0,158.0,158.0,,,,477,46.0,14.0,417
2019-05-14,FEEDER,BULL,M&L 1,3,375.0,385.0,380.0,149.0,151.0,149.99,,,,477,46.0,14.0,417
2019-05-14,FEEDER,BULL,M&L 1,3,410.0,445.0,432.0,141.0,145.0,142.95,,,,477,46.0,14.0,417
2019-05-14,FEEDER,BULL,M&L 1,7,505.0,545.0,525.0,130.0,136.0,132.92,,,,477,46.0,14.0,417
2019-05-14,FEEDER,BULL,M&L 2,3,590.0,595.0,592.0,119.0,129.0,125.65,,,,477,46.0,14.0,417
2019-05-14,FEEDER,HEIFER,M&L 1,3,435.0,445.0,442.0,130.0,133.0,130.98,,,,477,46.0,14.0,417
2019-05-14,FEEDER,HEIFER,M&L 2,3,480.0,495.0,490.0,124.0,125.0,124.67,,,,477,46.0,14.0,417
